Result,Keyword,Screening,Citation,Author,Year,Title,Journal,Vol,Nr,Pages
"Journal of Water and Health 10:3 (2012) 465-470 - Vinita Rawat et al. - The bacteriological quality of drinking water in Haldwani Block of Nainital District, Uttarakhand, India",Consumer,Not retail,,,,,,,,
Water Science & Technology 47:9 (2003) 31-36 - S. Rizak et al. - Drinking water quality management: a holistic approach,Consumer,Not retail,,,,,,,,
Water Science and Technology 36:5 (1997) 317-324 - M.J. Rodriguez et al. - Application of two approaches to model chlorine residuals in Severn Trent Water Ltd (STW) distribution systems,Consumer,Not retail,,,,,,,,
Water Science & Technology: Water Supply 10:4 (2010) 664-671 - M. Rygaard et al. - Indirect economic impacts in water supplies augmented with desalinated water,Consumer,Not retail,,,,,,,,
Water Science and Technology 35:11-12 (1997) 41-45 - K.M. Shepherd and A.P. Wyn-Jones - Private water supplies and the local authority role: results of a UK national survey,Consumer,Not retail,,,,,,,,
Journal of Water and Health 07:4 (2009) 535-543 - R. S. Signor and N. J. Ashbolt - Comparing probabilistic microbial risk assessments for drinking water against daily rather than annualised infection probability targets,Consumer,Not retail,,,,,,,,
Journal of Water Supply: Research and Technology-AQUA 56:8 (2007) 515-531 - R. S. Signor et al. - Microbial risk implications of rainfall-induced runoff events entering a reservoir used as a drinking-water source,Consumer,Not retail,,,,,,,,
Water Science & Technology-WST 61:6 (2010) 1561-1568 - P. W. M. H. Smeets et al. - Practical applications of quantitative microbial risk assessment (QMRA) for water safety plans,Consumer,Not retail,,,,,,,,
"M.C. Snead, V.P. Olivieri, K. Kawata, C.W. Krusé, The effectiveness of chlorine residuals in inactivation of bacteria and viruses introduced by post-treatment contamination, Water Research, Volume 14, Issue 5, 1980, Pages 403-408, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(80)90203-1.",Consumer,Not retail,,,,,,,,
Water Supply 2:2 (2002) 43-49 - M.C. Steynberg - Drinking water quality assessment practices: an international perspective,Consumer,Not retail,,,,,,,,
"Joanna ?wietlik, Urszula Raczyk-Stanis?awiak, Pawe? Piszora, Jacek Nawrocki, Reasons for the lack of chemical stability of treated water rich in magnesium, Water Research, Volume 45, Issue 19, 1 December 2011, Pages 6585-6592, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2011.10.003.",Consumer,Not retail,,,,,,,,
"J Water SRT - Aqua 53 (2004) 453-467 - Paula Vieira et. al.: - Accounting for the influence of initial chlorine concentration, TOC, iron and temperature when modelling chlorine decay in water supply",Consumer,Not retail,,,,,,,,
"Ryan K. Walter, Po-Hsun Lin, Marc Edwards, Ruth E. Richardson, Investigation of factors affecting the accumulation of vinyl chloride in polyvinyl chloride piping used in drinking water distribution systems, Water Research, Volume 45, Issue 8, April 2011, Pages 2607-2615, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2011.02.016.",Consumer,Not retail,,,,,,,,
"Michael A. Weeks, Barry S.C. Leadbeater, Maureen E. Callow, Jeff S. Bale, J. Barrie Holden, Effects of backwashing on the prosobranch snail Potamopyrgus jenkinsi Smith in granular activated carbon (GAC) adsorbers, Water Research, Volume 41, Issue 12, June 2007, Pages 2690-2696, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2007.02.020.",Customer,Not retail,,,,,,,,
Journal of Water Reuse and Desalination 3:1 (2013) 16-25 - Zhifang Wu et al. - Investigating psychological factors of behavioural intention of urban residents in South Australia to use treated stormwater for non-potable purposes,Marketing,Not retail,,,,,,,,
"A.L. Bridie´, C.J.M. Wolff, M. Winter, BOD and COD of some petrochemicals, Water Research, Volume 13, Issue 7, 1979, Pages 627-630, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(79)90011-3.",Marketing,Not retail,,,,,,,,
"A.S Vidyarthi, R.D Tyagi, J.R Valero, R.Y Surampalli, Studies on the production of B. thuringiensis based biopesticides using wastewater sludge as a raw material, Water Research, Volume 36, Issue 19, November 2002, Pages 4850-4860, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(02)00213-0.",Marketing,Not retail,,,,,,,,
Computer Aided Rehabilitation of Sewer and Storm Water Networks - Svenung Saegrov,Customer,Not retail,,,,,,,,
"Debra E Huffman, Theresa R Slifko, Kent Salisbury, Joan B Rose, Inactivation of bacteria, virus and Cryptosporidium by a point-of-use device using pulsed broad spectrum white light, Water Research, Volume 34, Issue 9, 15 June 2000, Pages 2491-2498, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(00)00014-2.",Marketing,Not retail,,,,,,,,
"Fats, Roots, Oils, and Grease (FROG) in Centralized and Decentralized Systems",Marketing,Not retail,,,,,,,,
"Giuseppe Merlino, Aurora Rizzi, Andrea Schievano, Alberto Tenca, Barbara Scaglia, Roberto Oberti, Fabrizio Adani, Daniele Daffonchio, Microbial community structure and dynamics in two-stage vs single-stage thermophilic anaerobic digestion of mixed swine slurry and market bio-waste, Water Research, Volume 47, Issue 6, 15 April 2013, Pages 1983-1995, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2013.01.007.",Marketing,Not retail,,,,,,,,
"Gustaf Olsson, ICA and me – A subjective review, Water Research, Volume 46, Issue 6, 15 April 2012, Pages 1585-1624, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2011.12.054.",Customer,Not retail,,,,,,,,
"H. Fletcher, T. Mackley, S. Judd, The cost of a package plant membrane bioreactor, Water Research, Volume 41, Issue 12, June 2007, Pages 2627-2635, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2007.02.038.",Marketing,Not retail,,,,,,,,
"Hiroaki Shiraishi, Akira Otsuki, Identification and determination of 4-(chloromethylsulfonyl)bromobenzene, A new herbicide additive, in lake waters, Water Research, Volume 21, Issue 7, July 1987, Pages 843-847, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(87)90161-8.",Marketing,Not retail,,,,,,,,
"International Conference on Nutrient Recovery from Wastewater Streams (Vancouver, 2009)",Marketing,Not retail,,,,,,,,
IWA Publishing - Authors,Customer,No article,,,,,,,,
IWA Publishing - Authors,Marketing,No article,,,,,,,,
IWA Publishing - Hydrology Research,Customer,No article,,,,,,,,
IWA Publishing - Journal of Hydroinformatics,Customer,No article,,,,,,,,
IWA Publishing - Journal of Water and Climate Change,Customer,No article,,,,,,,,
IWA Publishing - Journal of Water and Health,Customer,No article,,,,,,,,
IWA Publishing - Journal of Water Reuse and Desalination,Customer,No article,,,,,,,,
IWA Publishing - Journal of Water Supply: Research and Technology - Aqua,Customer,No article,,,,,,,,
"IWA Publishing - Journal of Water, Sanitation and Hygiene for Development",Customer,No article,,,,,,,,
IWA Publishing - Water Asset Management International,Customer,No article,,,,,,,,
IWA Publishing - Water Intelligence Online,Customer,No article,,,,,,,,
IWA Publishing - Water Policy,Customer,No article,,,,,,,,
IWA Publishing - Water Practice and Technology,Customer,No article,,,,,,,,
IWA Publishing - Water Quality Research Journal of Canada - Subscriptions,Customer,No article,,,,,,,,
IWA Publishing - Water Science and Technology,Customer,No article,,,,,,,,
IWA Publishing - Water Science and Technology: Water Supply,Customer,No article,,,,,,,,
IWA Publishing - Water Utility Management International,Customer,No article,,,,,,,,
IWA Publishing - Water21 - Not article of the International Water Association,Customer,No article,,,,,,,,
"Janos Krizan, Mirjana Vojinovic-Miloradov, Water quality of Yugoslav rivers (1991–1995), Water Research, Volume 31, Issue 11, November 1997, Pages 2914-2917, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(97)00087-0.",Marketing,Not retail,,,,,,,,
Journal of Water and Climate Change 4:1 (2013) 11-16 - E. J. M. Blokker et al. - Thermal energy from drinking water and cost benefit analysis for an entire city,Customer,Not retail,,,,,,,,
Journal of Water and Health 07:2 (2009) 224-243 - M. F. Rahman et al. - Endocrine disrupting compounds (EDCs) and pharmaceuticals and personal care products (PPCPs) in the aquatic environment: implications for the drinking water industry and global environmental health,Marketing,Not retail,,,,,,,,
Journal of Water and Health 07:3 - Not article,Marketing,No article,,,,,,,,
"A Boudou, F Ribeyre, Influence de la duree d'exposition sur la bioaccumulation par voie directe de deux derives du mercure par Salmo gairdneri (alevins) et relation “poids des organismes-concentration en mercure”, Water Research, Volume 18, Issue 1, 1984, Pages 81-86, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(84)90050-2.",Consumer,Not English,,,,,,,,
A Compendium of Best Practices in Asset Management,Consumer,No article,,,,,,,,
"A. Boudou, F. Ribeyre, A. Delarche, R. Marty, Bioaccumulation et bioamplification des derives du mercure par un consommateur de troisieme ordre: salmo gairdneri-incidences du facteur temperature, Water Research, Volume 14, Issue 1, 1980, Pages 61-65, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(80)90042-1.",Consumer,Not English,,,,,,,,
Best Practice Guide on the Sampling and Monitoring of Metals in Drinking Water,Consumer,No article,,,,,,,,
"Charging for irrigation services - Frank van Steenbergen, Gez Cornish, Chris Perry",Consumer,Not retail,,,,,,,,
Contributions of Household Chemicals to Sewage and Their Relevance to Municipal Wastewater Systems and the Environment,Consumer,Not retail,,,,,,,,
Drinking Water Quality Management from Catchment to Consumer,Consumer,No article,,,,,,,,
Impact of Silver Nanoparticles on Wastewater Treatment,Consumer,No article,,,,,,,,
Journal of Water and Health 5:3 (2007) 455-466 - P. Amoah et al. - Irrigated urban vegetable production in Ghana: microbiological contamination in farms and markets and associated consumer risk groups,Marketing,Not retail,,,,,,,,
Journal of Water and Health 5:3 – Contents,Consumer,No article,,,,,,,,
Journal of Water and Health 5:3 (2007) 455-466 - P. Amoah et al. - Irrigated urban vegetable production in Ghana: microbiological contamination in farms and markets and associated consumer risk groups,Consumer,Not retail,,,,,,,,
Journal of Water Supply: Research and Technology-AQUA 63:7 - Not article,Consumer,No article,,,,,,,,
"Journal of Water, Sanitation and Hygiene for Development 4:1 (2014) 164-170 - G. Halcrow et al. - Developing behaviour change communication for improving faecal sludge management in Bhutan",Consumer,Not retail,,,,,,,,
Protecting Groundwater for Health: Managing the Quality of Drinking-water Sources,Consumer,No article,,,,,,,,
Protocols to Assess the Breakdown of Flushable Consumer Products - 02CTS7P,Consumer,No article,,,,,,,,
Journal of Water Reuse and Desalination 3:1 (2013) 55-68 - Youssef Abarghaz et al. - Lessons learnt on Ecosan in Morocco: case of the urine-diversion dehydration toilets,Marketing,Not retail,,,,,,,,
TECHNEAU: Safe Drinking Water from Source to Tap State of the art & Perspectives,Consumer,No article,,,,,,,,
Testing Diagnostic Tools for Trace Organic Compounds and Multiple Stressors Case Studies,Consumer,No article,,,,,,,,
"Water Demand Management - David Butler, Fayyaz Memon",Consumer,No article,,,,,,,,
Journal of Water Supply: Research and Technology-AQUA 57:4 - Contents,Customer,No article,,,,,,,,
Water Intelligence Online - Not article,Consumer,No article,,,,,,,,
Water Intelligence Online (2002) - O. de Korner and A.-E. Ouvrard - A quality and environmental approach for drinking water in Paris,Consumer,No article,,,,,,,,
Water Intelligence Online January 2003 - Not article,Consumer,No article,,,,,,,,
Journal of Water Supply: Research and Technology-AQUA 63:2 - Contents,Customer,No article,,,,,,,,
Journal of Water Supply: Research and Technology-AQUA 63:5 - Contents,Customer,No article,,,,,,,,
Water Policy - Volume 8 Number 2 April 2006 - Not article,Consumer,No article,,,,,,,,
"Water Practice & Technology 3:1 (2008) - R. Barbier, D. Sousa and M. Montginoul - PUBLIC ACCEPTANCE OF SEWER FAILURES AND REHABILITATION WORKS: A CASE-STUDY FROM FRANCE AND PORTUGAL",Consumer,Not retail,,,,,,,,
"Water Quality Research Journal of Canada 48:3 (2013) 255-265 - Kerry McPhedran et al. - Fate and mass balances of triclosan (TCS), tetrabromobisphenol A (TBBPA) and tribromobisphenol A (tri-BBPA) during the municipal wastewater treatment process",Consumer,Not retail,,,,,,,,
Water Science & Technology 15:6-7 - Not article,Consumer,No article,,,,,,,,
"Journal of Water, Sanitation and Hygiene for Development - Browse Archive",Marketing,No article,,,,,,,,
"Journal of Water, Sanitation and Hygiene for Development (2014) - Exploring the utility of diffusion theory to evaluate social marketing approaches to improve urban sanitation in Malawi",Marketing,Not retail,,,,,,,,
"Journal of Water, Sanitation and Hygiene for Development 2:3 (2012) 182-189 - S. M. N. Uddin et al. - Assessment of social acceptance and scope of scaling up urine diversion dehydration toilets in Kenya",Marketing,Not retail,,,,,,,,
"Journal of Water, Sanitation and Hygiene for Development 2:4 (2012) 266-278 - Ben Cole et al. - Investigating the dynamic interactions between supply and demand for rural sanitation, Malawi",Marketing,Not retail,,,,,,,,
Water Science & Technology 20:11-12 (1988) 25-31 - Charles P. Gerba et al. - Enteric Virus: Risk Assessment of Ocean Disposal of Sewage Sludge,Consumer,Not retail,,,,,,,,
"Journal of Water, Sanitation and Hygiene for Development 4:1 (2014) 51-61 - Ben Cole et al. - Exploring the methodology of participatory design to create appropriate sanitation technologies in rural Malawi",Marketing,Not retail,,,,,,,,
"Journal of Water, Sanitation and Hygiene for Development 4:3 (2014) 437-448 - Sayed Mohammad Nazim Uddin et al. - A strengths, weaknesses, opportunities, and threats analysis on integrating safe water supply and sustainable sanitation systems",Marketing,Not retail,,,,,,,,
"Journal of Water, Sanitation and Hygiene for Development 4:3 (2014) 538-543 - F. C. O. Gomes et al. - Monitoring microbiological and physicochemical quality of bottled mineral water sold in Minas Gerais, Brazil",Marketing,Not retail,,,,,,,,
"Journal of Water, Sanitation and Hygiene for Development 4:4 (2014) 692-698 - Fred Nimoh et al. - Constraints and motivations to sanitation business in peri-urban communities in Ghana",Marketing,Not retail,,,,,,,,
Water Science & Technology 20:6-7 (1988) 287-294 - A. Tokai et al. - Application of Basin Wide Ecological Models (Bawems) to the Fate of LAS in Tokyo Bay,Consumer,Not retail,,,,,,,,
"Juan Pablo Rodríguez, Neil McIntyre, Mario Díaz-Granados, ?edo Maksimovi?, A database and model to support proactive management of sediment-related sewer blockages, Water Research, Volume 46, Issue 15, 1 October 2012, Pages 4571-4586, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2012.06.037.",Customer,Not retail,,,,,,,,
Water Science & Technology 24:10 (1991) 115-126 - M. Stalmans et al. - Fate and Effect of Detergent Chemicals in the Marine and Estuarine Environment,Consumer,Not retail,,,,,,,,
"Water Science & Technology 24:9 (1991) 303-312 - C. Kuzminski et al. - Wastewater Reclamation and Reuse at the Sugarbeet Factory ACOR-1 (Valladolid, Spain)",Consumer,Not retail,,,,,,,,
Water Science & Technology 25:2 (1992) 57-64 - C. G. Jardine - Public Evaluation of Fish Tainting from Pulp and Paper Mill Discharges,Consumer,Not retail,,,,,,,,
Water Science & Technology 42:1-2 (2000) 235-239 - KH Mancy et al. - Cultural implications of wastewater reuse in fish farming in the Middle East,Consumer,Not retail,,,,,,,,
Water Science & Technology 43:10 (2001) 147-154 - R.A. Patterson - Wastewater quality relationships with reuse options,Consumer,Not retail,,,,,,,,
Water Science & Technology 43:5 (2001) 309-318 - TA Larsen and W Gujer - Waste design and source control lead to flexibility in wastewater management,Consumer,Not retail,,,,,,,,
"Water Science & Technology 43:9 (2001) 197-202 - M. van Roon and S. Knight - Towards integrated catchment management, Whaingaroa, New Zealand",Consumer,Not retail,,,,,,,,
"Lawrence C.C. Koe, F.G. Ang, Bioaugmentation of anaerobic digestion with a biocatalytic addition: The bacterial nature of the biocatalytic addition, Water Research, Volume 26, Issue 3, March 1992, Pages 389-392, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(92)90036-4.",Marketing,Not retail,,,,,,,,
Losses in Water Distribution Networks - Malcolm Farley and Stuart Trow,Customer,No article,,,,,,,,
"Lynda H. Wartelle, Wayne E. Marshall, Chromate ion adsorption by agricultural by-products modified with dimethyloldihydroxyethylene urea and choline chloride, Water Research, Volume 39, Issue 13, August 2005, Pages 2869-2876, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2005.05.001.",Marketing,Not retail,,,,,,,,
Water Science & Technology 46:1-2 - Not article,Consumer,No article,,,,,,,,
"M. Maurer, Specific net present value: An improved method for assessing modularisation costs in water services with growing demand, Water Research, Volume 43, Issue 8, May 2009, Pages 2121-2130, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2009.02.008.",Marketing,Not retail,,,,,,,,
Water Science & Technology 48:1 - Not article,Consumer,No article,,,,,,,,
Water Science & Technology 48:11 (2004) 385-391 - H. Mattila et al. - Consumer managed co-operative - a solution for progressing wastewater management in rural areas,Consumer,Not retail,,,,,,,,
Water Science & Technology 48:11-12 - Not article,Consumer,No article,,,,,,,,
"Michael Neumann, David Dudgeon, The impact of agricultural runoff on stream benthos in Hong Kong, China, Water Research, Volume 36, Issue 12, July 2002, Pages 3103-3109, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(01)00540-1.",Marketing,Not retail,,,,,,,,
Water Science & Technology 49:10 (2004) 1-10 - H. Kroiss - What is the potential for utilizing the resources in sludge?,Consumer,Not retail,,,,,,,,
"Min Tao Wan, Chin Cheng Chou, Spreading of ?-lactam resistance gene (mecA) and methicillin-resistant Staphylococcus aureus through municipal and swine slaughterhouse wastewaters, Water Research, Volume 64, 1 November 2014, Pages 288-295, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2014.07.014.",Marketing,Not retail,,,,,,,,
"Nicolas Boudaud, Claire Machinal, Fabienne David, Armelle Fréval-Le Bourdonnec, Jérôme Jossent, Fanny Bakanga, Charlotte Arnal, Marie Pierre Jaffrezic, Sandrine Oberti, Christophe Gantzer, Removal of MS2, Q? and GA bacteriophages during drinking water treatment at pilot scale, Water Research, Volume 46, Issue 8, 15 May 2012, Pages 2651-2664, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2012.02.020.",Marketing,Not retail,,,,,,,,
"Nikolaus Nestle, Thomas Baumann, Reinhard Niessner, Oxygen determination in oxygen-supersaturated drinking waters by NMR relaxometry, Water Research, Volume 37, Issue 14, August 2003, Pages 3361-3366, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(03)00211-2.",Marketing,Not retail,,,,,,,,
Water Science & Technology 53:8 (2006) 69-79 - B.E. Liedl et al. - Fertilizer potential of liquid and solid effluent from thermophilic anaerobic digestion of poultry waste,Consumer,Not retail,,,,,,,,
Water Science & Technology 54:11-12 (2006) 403-412 - J. Lienert et al. - Young users accept NoMix toilets - a questionnaire survey on urine source separating toilets in a college in Switzerland,Consumer,Not retail,,,,,,,,
"Olufunke Cofie, Doulaye Kone, Silke Rothenberger, Daya Moser, Chris Zubruegg, Co-composting of faecal sludge and organic solid waste for agriculture: Process dynamics, Water Research, Volume 43, Issue 18, October 2009, Pages 4665-4675, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2009.07.021.",Marketing,Not retail,,,,,,,,
"Onur Guven Apul, Tanju Karanfil, Adsorption of synthetic organic contaminants by carbon nanotubes: A critical review, Water Research, Volume 68, 1 January 2015, Pages 34-55, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2014.09.032.",Marketing,No article,,,,,,,,
"Oscar Monroy, Graciela Famá, Mónica Meraz, Leticia Montoya, Hervé Macarie, Anaerobic digestion for wastewater treatment in Mexico: state of the technology, Water Research, Volume 34, Issue 6, 1 April 2000, Pages 1803-1816, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(99)00301-2.",Marketing,Not retail,,,,,,,,
Water Science & Technology 65:2 (2012) 380-392 - Pawel Krzeminski et al. - Specific energy consumption of membrane bioreactor (MBR) for sewage treatment,Consumer,Not retail,,,,,,,,
Water Science & Technology 67:3 (2012) 651-657 - H. Azaizeh et al. - Constructed wetlands combined with UV disinfection systems for removal of enteric pathogens and wastewater contaminants,Consumer,Not retail,,,,,,,,
Water Science & Technology 71:2 (2015) 303-308 - D. Mamais et al. - Wastewater treatment process impact on energy savings and greenhouse gas emissions,Consumer,Not retail,,,,,,,,
"P.M. Berthouex, Y. Pathak, J. Vondracek, Data management for land disposal of liquid sludge, Water Research, Volume 18, Issue 3, 1984, Pages 355-359, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(84)90112-X.",Marketing,Not retail,,,,,,,,
"Paolo Battistoni, Francesco Fatone, Daniele Passacantando, David Bolzonella, Application of food waste disposers and alternate cycles process in small-decentralized towns: A case study, Water Research, Volume 41, Issue 4, February 2007, Pages 893-903, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2006.11.023.",Marketing,Not retail,,,,,,,,
Water Science & Technology: Water Supply 1:4 - Not article,Consumer,No article,,,,,,,,
"Performance Indicators for Wastewater Services - R Matos, A Cardoso, R Ashley, P Duarte, A Molinari & A Schulz",Customer,No article,,,,,,,,
Pharmaceuticals in the Environment: Current knowledge and need assessment to reduce presence and impact,Marketing,No article,,,,,,,,
Water Science & Technology: Water Supply 8:1 - Not article,Consumer,No article,,,,,,,,
Water Science and Technology 31:11 - Not article,Consumer,No article,,,,,,,,
Water Science and Technology 37:8 (1998) 145-152 - Milenko Ros and Anton Gantar - Possibilities of reduction of recipient loading of tannery wastewater in Slovenia,Consumer,Not retail,,,,,,,,
Water Science and Technology 39:5 (1999) 17-23 - J. B. Braden and E. C. van Ierland - Balancing: the economic approach to sustainable water management,Consumer,Not retail,,,,,,,,
Water Science and Technology 39:5 (1999) 41-47 - M. A. J. E van der Wijst and J. P. Groot-Marcus - Consumption and domestic waste water demographic factors and developments in society,Consumer,Not retail,,,,,,,,
"R. Vismara, A model for autothermic aerobic digestion: Effects of scale depending on aeration efficiency and sludge concentration, Water Research, Volume 19, Issue 4, 1985, Pages 441-447, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(85)90035-1.",Marketing,Not retail,,,,,,,,
"R.N. Sturm, K.E. Williams, K.J. Macek, Fluorescent whitening agents: Acute fish toxicity and accumulation studies, Water Research, Volume 9, Issue 2, February 1975, Pages 211-219, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(75)90011-1.",Marketing,Not retail,,,,,,,,
"Robert M. Bradley, Deme´trio Cabral Jr., The quality of run-off from an irrigated market garden area in Brazil, Water Research, Volume 13, Issue 7, 1979, Pages 589-598, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(79)90006-X.",Marketing,Not retail,,,,,,,,
Water Science and Technology 40:6 - Not article,Consumer,No article,,,,,,,,
Water Supply 5:6 (2005) 75-84 - D. Latinopoulos - Derivation of irrigation water demand functions through linear and non-linear optimisation models: application to an intensively irrigated area in northern Greece,Consumer,Not retail,,,,,,,,
"S. Geno Lehman, Li Liu, Application of ceramic membranes with pre-ozonation for treatment of secondary wastewater effluent, Water Research, Volume 43, Issue 7, April 2009, Pages 2020-2028, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2009.02.003.",Marketing,Not retail,,,,,,,,
Water Utility Management International - 3.1 (2008) 08-09 - Lis Stedman - Getting the voice of the consumer heard,Consumer,No article,,,,,,,,
Water Utility Management International - Volume 1 Issue 3 October 2006 - Not article,Consumer,No article,,,,,,,,
Water Utility Management International - Volume 3 Issue 1 March 2008 - Not article,Consumer,No article,,,,,,,,
Water21 - December 2003 - Not article,Consumer,No article,,,,,,,,
Water21 - December 2003 (5.6) pp59-60 - Bill McCann - Setting a course for consumer confidence,Consumer,No article,,,,,,,,
Water21 - February 2007 (9.1) pp50-51 - Tom Williams and Steve Hrudey - Public health protection demands effective communication,Consumer,No article,,,,,,,,
"Water21 - July-August 1999 (1.1) pp19-22 - Wolf Merkel, Andreas Holy, Dieter Stetter and Horst Overath - Centralised softening in the lower Rhine basin",Consumer,No article,,,,,,,,
Strategic Asset Management of Water Supply and Wastewater Infrastructures,Customer,No article,,,,,,,,
"Ulrike Hass, Uwe Duennbier, Gudrun Massmann, Occurrence and distribution of psychoactive compounds and their metabolites in the urban water cycle of Berlin (Germany), Water Research, Volume 46, Issue 18, 15 November 2012, Pages 6013-6022, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2012.08.025.",Marketing,Not retail,,,,,,,,
Utility Benchmarking and Regulation in Developing Countries,Customer,No article,,,,,,,,
Water Asset Management International - 1.2 (2005) 19-21 - Chris Egbars and Jayam Tennakoon - Ipswich Water's meter replacement strategy,Customer,No article,,,,,,,,
Water Asset Management International - 1.3 (2005) 10-13 - Paul H Causey - A national asset management steering council: the time has come,Marketing,No article,,,,,,,,
"Water Asset Management International - 1.3 (2005) 19-22 - Mirjam Blokker, Kees Ruijg and Henk de Kater - Introduction of a substandard supply minutes performance indicator",Customer,No article,,,,,,,,
"Water Asset Management International - 3.2 (2007) 12-18 - Stewart Burn, David Marlow, Magnus Moglia, Peter Buckland - Asset management for urban infrastructure",Customer,No article,,,,,,,,
"Water Asset Management International - 3.4 (2007) 02-03 - Neil S Grigg and Traci Case - Main break prediction, prevention and control",Customer,No article,,,,,,,,
Water Asset Management International - 4.3 (2008) 06-08 - Dewi Rogers - Integrated approach for water network rehabilitation,Customer,No article,,,,,,,,
"Water Asset Management International - 4.3 (2008) 09-12 - A. Korth, S. Richardt and B. Wricke - Strategy for the development of optimized flushing plans",Customer,No article,,,,,,,,
"Water Asset Management International - 6.3 (2010) 10-13 - Jeremy Lumbers, Tony Conway, Tim Fynn and George Heywood - Optimal asset management planning: advances in water mains and sewers analysis within a new modelling environment",Customer,No article,,,,,,,,
Water Intelligence Online (2002) - Mike Pocock -  Water Pricing as a Key Element in a Sustainability Strategy,Customer,No article,,,,,,,,
Water Intelligence Online (2002) - T. Skeel - Water conservation potential assessment: a tool for strategic resource management,Customer,No article,,,,,,,,
Water Intelligence Online (2003) - Francis Pamminger - Challenges the water industry faces with sustainability,Customer,No article,,,,,,,,
Water Policy - Volume 6 Number 5 October 2004 - Not article,Customer,No article,,,,,,,,
Water Policy 11:3 (2009) 379-399 - J. R. Foster - Do Texas groundwater conservation districts matter?,Marketing,Not retail,,,,,,,,
Water Policy 11:4 (2009) 481-488 - Anastasios Michailidis et al. - Assessment of irrigation dam using real options and discounted cash flow approaches: a case study in Greece,Marketing,Not retail,,,,,,,,
Water Policy 12:1 (2010) 114-128 - John R. C. Robinson et al. - Mitigating water shortages in a multiple risk environment,Marketing,Not retail,,,,,,,,
Water Policy 12:2 - Contents,Customer,No article,,,,,,,,
Water Policy 12:3 (2010) 305-317 - Richard A. Slaughter et al. - Mandates vs markets: addressing over-allocation of Pacific Northwest River Basins,Marketing,Not retail,,,,,,,,
Water Policy 12:5 (2010) 695-706 - Selmin Burak and Hakan Mat - Municipal water demand and efficiency analysis: Case studies in Turkey,Customer,Not retail,,,,,,,,
Water Policy 13:4 - Contents,Customer,No article,,,,,,,,
Water Practice & Technology 001:01 (2006) - S. Burn et al - A decision support system for urban groundwater resource sustainability?,Customer,Not retail,,,,,,,,
Water Practice & Technology 002:01 (2007) - W.H. Rulkens - Sustainable sludge treatment: dilemmas in future research and development,Marketing,Not retail,,,,,,,,
Water Practice & Technology 002:04 (2007) - C. Pike - NEW STRATEGIES TO ACHIEVE EFFICIENT WATER USE BY NEW BUSINESSES,Customer,Not retail,,,,,,,,
Water Practice & Technology 002:04 (2007) - C. Pike - NEW STRATEGIES TO ACHIEVE EFFICIENT WATER USE BY NEW BUSINESSES,Marketing,Not retail,,,,,,,,
Water Practice & Technology 002:04 (2007) - Dr P.J. Matthews - Biosolids management integrated into national organic resource strategies in the UK?,Customer,Not retail,,,,,,,,
"Water Practice & Technology 3:1 (2008) - Geung Jeon Han, Ju Young Cho and Young Ju Kim - Integrated Operations and Management of Wastewater Treatment Facilities in the Upstream Areas of Dams",Customer,Not retail,,,,,,,,
"Water Practice & Technology 3:2 (2008) - R. Birks, S. Hills, E. Grant and B. Verrecht - Community scale non-potable reuse in London using an MBR",Customer,Not retail,,,,,,,,
Water Practice & Technology 7:4 (2012) - R. Baffrey and A. Adis - Manila waters experience in the provision of sewerage service in the east zone of Metro Manila,Customer,Not retail,,,,,,,,
